DT_AGG,DT_FILTER,DT_TYPE,MERCH_CLASSIFICATION1,MERCH_CLASSIFICATION2,CATEGORY_LEVEL1,CATEGORY_LEVEL2,CATEGORY_LEVEL3,MANUFACTURER_NAME,PARENT_COMPANY,CAMPAIGNS,SKUS,ZONE_ID,AD_TYPE,SOURCE,PAGE_TYPE,SLOT_NAME,BUDGET_DAILY,BUDGET_MONTHLY,BUDGET_LIFETIME,BUDGET_TOTAL_DAILY,IMPRESSIONS,CLICKS,REVENUE,QUANTITY,LTV_QUANTITY,DIRECT_SALES,LTV_SALES,QUANTITY_24H,DIRECT_24H,LTV_QUANTITY_24H,LTV_SALES_24H,REQUESTS,REQUEST_FILLED,REQUESTED_ADS,SELECTED_ADS,BUDGET_GOAL,TARGET_GOAL,API_PARTNER
2026-01-11,day,Demand,"Business Essentials",Standard,"Writing Instruments",Envelopes,Classic,"Yellowstone Co","Yellowstone Co",748739289,48839,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Standard,"Writing Instruments",Envelopes,Classic,"Yellowstone Co","Yellowstone Co",748739289,109136,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Standard,"Writing Instruments",Envelopes,Classic,"Yellowstone Co","Yellowstone Co",748739289,48844,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",10,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Professional Grade",Specialty,"Writing Instruments",General,Compact,"Trident Industries","Trident Industries",748686072,123826,315393,"Sponsored Brand",SFW,Search,"22080 : SPONSORED_BRAND_SEARCH_ATF_SLOT","","","","",26,1,1.00,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Standard,"Writing Instruments",Envelopes,Classic,"Yellowstone Co","Yellowstone Co",748739289,49956,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-10,day,Demand,"Premium Office",Bulk,"Writing Instruments","Copy Paper",Modern,"Unity Brands","Unity Brands",861796428,3315518,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",37,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Professional Grade",Specialty,"Writing Instruments",General,Compact,"Zephyr Products","Evergreen Brands",749585697,877710,"","Sponsored Brand","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Professional Grade",Specialty,"Writing Instruments",General,Compact,"Zephyr Products","Evergreen Brands",749585697,67570,315404,"Sponsored Brand",NMA,Browse,"22095 : SPONSORED_BRAND_NMA_BROWSE_ATF_SLOT","","","","",133,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Recycled,"Safety & Security",Folders,Deluxe,"Trident Industries","Frontier Goods",790826663,146224,315401,"Sponsored Product",NMA,Deals,"22070 : NMA_DEALS_ATF_SLOT","","","","",109,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Writing Instruments",Notebooks,Compact,"Denali Partners","Denali Partners",861422267,2113078,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",43,1,0.67,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Pencils,Economy,"Evergreen Brands","Evergreen Brands",855693989,1826910,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Classic,"Trident Industries","Trident Industries",765167938,1522550,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",5,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Classic,"Trident Industries","Trident Industries",765167938,1522550,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",1,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Paper Products",Envelopes,Deluxe,"Starlight Co","Starlight Co",784084198,1626774,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Paper Products",Envelopes,Deluxe,"Starlight Co","Starlight Co",784084198,1627462,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",9,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Paper Products",Envelopes,Deluxe,"Starlight Co","Starlight Co",784084198,1627078,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Envelopes,Premium,"Yellowstone Co","Yellowstone Co",861902970,518486,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Paper Products",Notebooks,Eco,"Unity Brands","Unity Brands",861697811,1359398,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",6,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Paper Products",Notebooks,Eco,"Unity Brands","Unity Brands",861697811,1782526,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",1,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Writing Instruments",Pencils,Economy,"Upland Goods","Upland Goods",818670749,1631190,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",6,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Recycled,"Writing Instruments",Notebooks,Compact,"Denali Partners","Denali Partners",861518734,2016062,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",290,15,7.93,"","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Bulk,"Filing & Storage",General,Mini,"Evergreen Brands","Evergreen Brands",745258037,94943,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",94,3,3.10,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-03,day,Demand,"Business Essentials",Bulk,"Filing & Storage",General,Mini,"Evergreen Brands","Evergreen Brands",745258037,175951,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",298,3,2.06,5,10,29.75,60.08,4.00,23.80,8,48,"","","","","","",adplatform_alpha
